Registry name,Weight,Hunger,Saturation,Display name,Ore Dict keys,Mod name,Item ID
aether_legacy:ambrosium_shard,1.0,0,0.6,Ambrosium Shard,['ore:gemAmbrosium'],Aether Legacy,8589
aether_legacy:blue_berry,1.0,2,0.6,Blue Berry,['ore:cropBlueberry'],Aether Legacy,8632
aether_legacy:burnt_cockatrice,1.0,4,0.1,Burnt Kelenk Meat,['ore:'],Aether Legacy,8723
aether_legacy:candy_cane,1.0,2,0.6,Candy Cane,['ore:'],Aether Legacy,8637
aether_legacy:cockatrice,1.0,2,0.1,Kelenk Meat,['ore:listAllchickenraw'],Aether Legacy,8722
aether_legacy:cooked_enchanted_cockatrice,2.0,10,0.8,Cooked Enchanted Kelenk Meat,['ore:listAllchickencooked'],Aether Legacy,8725
aether_legacy:enchanted_blueberry,1.0,8,0.6,Enchanted Berry,['ore:cropBlueberryEnchanted'],Aether Legacy,8633
aether_legacy:enchanted_cockatrice,1.0,6,0.6,Enchanted Kelenk Meat,['ore:listAllchickenraw'],Aether Legacy,8724
aether_legacy:ginger_bread_man,1.0,2,0.6,Ginger Bread Man,['ore:'],Aether Legacy,8638
aether_legacy:gummy_swet,1.0,20,0.6,Blue Gummy Swet,['ore:'],Aether Legacy,8635
aether_legacy:healing_stone,1.0,0,0.6,Healing Stone,['ore:'],Aether Legacy,8636
aether_legacy:white_apple,1.0,0,0.6,White Apple,['ore:'],Aether Legacy,8634
animania:bacon_omelette,3.0,5,0.7,Bacon Omelette,['ore:'],Animania,4454
animania:cheese_omelette,2.0,5,0.7,Cheese Omelette,['ore:'],Animania,4455
animania:chocolate_truffle,3.0,6,0.7,Chocolate Truffle,['ore:'],Animania,4459
animania:cooked_chevon,2.0,4,1,Roast Chevon,"['ore:foodMeats', 'ore:listAllmeatcooked']",Animania,4483
animania:cooked_frog_legs,2.0,5,1,Cooked Prime Frog Legs,"['ore:foodMeats', 'ore:listAllfrogcooked', 'ore:listAllmeatcooked']",Animania,4479
animania:cooked_horse,2.0,5,1,Cooked Horse,"['ore:foodMeats', 'ore:listAllmeatcooked']",Animania,4481
animania:cooked_peacock,2.0,4,1,Roast Peacock,['ore:listAllchickencooked'],Animania,4487
animania:cooked_prime_bacon,2.0,4,1,Roast Prime Bacon,"['ore:foodBaconCooked', 'ore:foodMeats', 'ore:listAllporkcooked']",Animania,4468
animania:cooked_prime_beef,2.0,5,1,Roast Prime Beef,"['ore:foodMeats', 'ore:listAllbeefcooked', 'ore:listAllmeatcooked']",Animania,4462
animania:cooked_prime_chevon,2.0,5,1,Roast Prime Chevon,"['ore:foodMeats', 'ore:listAllmeatcooked']",Animania,4485
animania:cooked_prime_chicken,2.0,5,1,Roast Prime Chicken,"['ore:foodMeats', 'ore:listAllchickencooked', 'ore:listAllmeatcooked']",Animania,4470
animania:cooked_prime_mutton,2.0,5,1,Roast Prime Mutton,"['ore:foodMeats', 'ore:listAllmeatcooked', 'ore:listAllmuttoncooked']",Animania,4475
animania:cooked_prime_peacock,2.0,5,1,Roast Prime Peacock,['ore:listAllchickencooked'],Animania,4489
animania:cooked_prime_pork,2.0,5,1,Roast Prime Pork,"['ore:foodMeats', 'ore:listAllmeatcooked', 'ore:listAllporkcooked']",Animania,4466
animania:cooked_prime_rabbit,2.0,4,1,Roast Prime Rabbit,"['ore:foodMeats', 'ore:listAllmeatcooked']",Animania,4477
animania:cooked_prime_steak,2.0,5,1,Roast Prime Steak,"['ore:foodMeats', 'ore:listAllbeefcooked']",Animania,4464
animania:friesian_cheese_wedge,1.0,3,0.9,Cheese Wedge (Friesian),['ore:foodCheese'],Animania,4490
animania:goat_cheese_wedge,1.0,3,0.9,Cheese Wedge (Goat),['ore:foodCheese'],Animania,4493
animania:holstein_cheese_wedge,1.0,3,0.9,Cheese Wedge (Holstein),['ore:foodCheese'],Animania,4491
animania:jersey_cheese_wedge,1.0,3,0.9,Cheese Wedge (Jersey),['ore:foodCheese'],Animania,4492
animania:milk_bottle,3.0,4,1,Bottle of Milk,['ore:'],Animania,4450
animania:plain_omelette,1.0,5,0.6,Plain Omelette,['ore:'],Animania,4456
animania:raw_chevon,1.0,1,1,Raw Chevon,"['ore:foodMeats', 'ore:listAllmeatraw']",Animania,4482
